,media_nao_convertidos,media_convertidos,diferenca,diferenca_percentual
total_de_visitas,3.3079767564712097,3.531592249368155,0.22361549289694516,6.76
tempo_total_no_site,330.4044726184187,738.5467565290649,408.14228391064614,123.53
visualizacoes_de_pagina_por_visita,2.3530216587427364,2.2875428250491434,-0.06547883369359297,-2.78
